file picker	окно выбора файла
spreadsheets	электронные таблицы
equation editor object	объект реактора формул
MathType to LibreOffice Math or reverse	MathType в LibreOffice Math или обратно	Настройка в интерфейсе Сервис - Параметры - Загрузка/сохранение - Microsoft Office
option	параметр
drawings	графические материалы, графика
blueprints	отпечаток на копировальной бумеге	Может значить концептуальный проект. Не имеет смысла в контексте исходного кода.
Encoded	выбор кодировки
LibreOffice Documentation Team	команда документации LibreOffice
team	команда
free	свободный	Свободный по отношению к ПО на основе открытого исходного кода. Значение "бесплатный" в этом случае не корректно
Getting Started Guide	Руководство по началу работы
See	Смотрите	По договоренности на форуме http://forumooo.ru/index.php/topic,7016.msg45598.html#msg45598
FAQs	ЧаВо
document	документ
text	текст
file	файл
page	страница
no	нет
object	объект
data	данные
format	формат
table	таблица
error	ошибка
delete	удалить
edit	правка
setting	настройка
insert	вставить
column	столбец
option	параметр
create	создать
line	строка
field	поле
source	источник
character	символ
save	сохранить
user	пользователь
style	стиль
content	содержимое
default	обычный
graphic	графический объект
database	база данных
left	слева
information	информация
help	справка
list	список
exist	существует
selection	выделение
check	проверять
add	добавить
size	кегль
size	размер таблицы
install	установить
link	ссылка
title	обращение
font	шрифт
note	заметка
time	время
start	начало
change	заменить
row	строка
close	закрыть
color	цвет
view	вид
remove	удалить
system	система
paragraph	абзац
filter	фильтр
invalid	недействительный
form	форма
word	слово
version	версия
continue	продолжить
top	по верхнему краю
position	должность
password	пароль
cell	ячейка
date	дата
copy	копировать
choose	выбрать
display	показать
return	восстановить
address	адрес
control	элемент управления
mode	режим
language	язык
print	печать
bottom	по нижнему краю
function	функция
level	уровень
drawing	рисунок
properties	свойства
frame	врезка
preview	просмотр
apply	применить
entry	элемент
macro	макрос
window	окно
created	создан
automatic	автоматически
application	приложение
report	отчёт
unknown	неизвестно
action	действие
key	чёрный
background	фон
presentation	презентация
replace	заменить
range	диапазон
update	обновить
custom	настроить
width	ширина
alignment	выравнивание
comment	примечание
dialog	диалоговое окно
formula	формула
back	назад
space	пробел
chart	диаграмма
location	расположение
status	состояние
modified	изменение
description	описание
previous	предыдущий
slide	слайд
spacing	интервал
error occurred	возникла ошибка
button	кнопка
path	путь
spreadsheet	электронная таблица
data source	источник данных
modify	изменить
layout	макет
move	переместить
border	обрамление
sheet	лист
directory	каталог
configuration	конфигурация
image	изображение
base	основание
height	высота
query	запрос
record	запись
search	найти
program	программа
values	значения
outline	структура
server	сервер
header	верхний колонтитул
reference	ссылка
index	указатель
convert	конвертировать
horizontal	горизонт.
names	роли
break	разрыв
master	мастер
changed	изменение состояния
numbering	нумерация
bar	линейчатая
printer	принтер
deleted	удалено
attribute	атрибут
cancel	отменить
read-only	только для чтения
HTML	HTML
original	оригинал
section	раздел
vertical	вертикально
warning	предупреждение
automatically	автоматически
input	ввод
center	по центру
export	экспорт
rename	переименовать
command	команда
letter	письмо
run	выполнить
tab	табуляция
label	надпись
special	специальный
stop	стоп
element	элемент
indent	отступ
sort	сортировка
web	интернет
import	импорт
module	модуль
length	длина линии
single	одинарный
load	загрузить
folder	папка
merge	объединить
footer	нижний колонтитул
author	автор
exit	выход
overwrite	заменить
grid	сетка
formatting	форматирование
book	книга
